Time,data
1717235670.7824957,0.0
1717235670.7826283,0.0
1717235670.782762,0.0
1717235670.7828088,0.0
1717235670.8816795,0.0009483827294663745
1717235670.881799,0.0009483827294663745
1717235670.9816623,0.0042267427819427305
1717235670.9817696,0.0042267427819427305
1717235671.0809593,0.010537585882959718
1717235671.0810945,0.010537585882959718
1717235671.1829627,0.01780852014220192
1717235671.1831467,0.01780852014220192
1717235671.2840788,0.029271071897110323
1717235671.2842267,0.029271071897110323
1717235671.3845057,0.040757040509536414
1717235671.3846047,0.040757040509536414
1717235671.4850283,0.0557438293208569
1717235671.4851766,0.0557438293208569
1717235671.5865057,0.07373956723891274
1717235671.5866575,0.07373956723891274
1717235671.686319,0.08847111230329041
1717235671.686428,0.08847111230329041
1717235671.786252,0.10647633404864092
1717235671.7865381,0.10647633404864092
1717235671.8845618,0.1212078791130186
1717235671.8846827,0.1212078791130186
1717235671.984301,0.13757626251788269
1717235671.984404,0.13757626251788269
1717235672.0838246,0.1555814842632332
1717235672.0839481,0.1555814842632332
1717235672.1863923,0.1703130293276109
1717235672.186463,0.1703130293276109
1717235672.2856994,0.18831825107296138
1717235672.285839,0.18831825107296138
1717235672.385091,0.20304979613733906
1717235672.385185,0.20304979613733906
1717235672.484683,0.21941817954220316
1717235672.48483,0.21941817954220316
1717235672.5849905,0.23742340128755365
1717235672.5851932,0.23742340128755365
1717235672.6854484,0.25215494635193136
1717235672.685688,0.25215494635193136
1717235672.786365,0.2701601680972818
1717235672.7865458,0.2701601680972818
1717235672.886371,0.28489171316165957
1717235672.8865213,0.28489171316165957
1717235672.9862235,0.30126009656652364
1717235672.9863002,0.30126009656652364
1717235673.0859315,0.3192653183118742
1717235673.0861552,0.3192653183118742
1717235673.18662,0.3339968633762518
1717235673.1867115,0.3339968633762518
1717235673.2870655,0.35200208512160236
1717235673.2873573,0.35200208512160236
1717235673.387587,0.36673363018597993
1717235673.3877778,0.36673363018597993
1717235673.4901745,0.38310201359084406
1717235673.4905438,0.38310201359084406
1717235673.5889096,0.40110723533619463
1717235673.58901,0.40110723533619463
1717235673.6888692,0.4158387804005722
1717235673.689018,0.4158387804005722
1717235673.7898011,0.4338440021459228
1717235673.7899501,0.4338440021459228
1717235673.8906674,0.44857554721030046
