Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,velocity_0,velocity_1
86.256,8607,86,255000000,,"['joint1', 'joint2']",0.22112132566953946,-0.1272255928825068,0.22365890888112797,-0.3107893512791791
86.266,8608,86,265000000,,"['joint1', 'joint2']",0.22271561680149254,-0.12840108881557377,0.12963314214324512,-0.029781081977149085
86.276,8609,86,275000000,,"['joint1', 'joint2']",0.22388631087514455,-0.128365152188894,0.11071509800891106,0.018671686510055907
86.286,8610,86,285000000,,"['joint1', 'joint2']",0.22495663929135556,-0.12812293379731532,0.10467912156884752,0.026621516560729225
86.296,8611,86,295000000,,"['joint1', 'joint2']",0.22598120989178927,-0.127850118528821,0.10073181998929413,0.027436501128176097
86.306,8612,86,305000000,,"['joint1', 'joint2']",0.22696807738101743,-0.12757810047140428,0.09701004326451997,0.026931546175446977
86.316,8613,86,315000000,,"['joint1', 'joint2']",0.22791734625910465,-0.12731307930793712,0.09320469239823821,0.02612711945906153
86.326,8614,86,325000000,,"['joint1', 'joint2']",0.228827890095193,-0.12705678948604238,0.08927695275430451,0.025208448531079758
86.336,8615,86,335000000,,"['joint1', 'joint2']",0.22969851780202166,-0.12681011417610666,0.08523511640933479,0.02421500466217584
86.346,8616,86,345000000,,"['joint1', 'joint2']",0.23264521302530472,-0.13251968997713526,0.3822887921838729,-0.7881169269050899
86.356,8617,86,355000000,,"['joint1', 'joint2']",0.23494678641839073,-0.13575263084124245,0.16054552940701183,-0.11237214247534177
86.366,8618,86,365000000,,"['joint1', 'joint2']",0.23627449675657441,-0.13606971832885684,0.11950878940796887,0.00494802666016525
86.376,8619,86,375000000,,"['joint1', 'joint2']",0.23740672156862885,-0.13588142440495599,0.10970660131427944,0.025045486513100915
86.386,8620,86,385000000,,"['joint1', 'joint2']",0.2384775510026742,-0.13560940846270597,0.10519680592552433,0.02805247454408384
86.395,8621,86,395000000,,"['joint1', 'joint2']",0.2395088320659271,-0.13532831567995096,0.1014593391719966,0.02798367986432164
86.406,8622,86,405000000,,"['joint1', 'joint2']",0.24050293745738838,-0.13505201432307867,0.0977189320058661,0.027299751098363884
86.416,8623,86,416000000,,"['joint1', 'joint2']",0.24145898830971468,-0.13478365686857252,0.09385559645111129,0.0264391447283404
86.426,8624,86,425000000,,"['joint1', 'joint2']",0.2423756890004567,-0.1345244419815046,0.08986340921460771,0.025486314799094648
86.436,8625,86,435000000,,"['joint1', 'joint2']",0.24325182235690868,-0.13427515205998297,0.08575635632134906,0.024463356395396305
86.446,8626,86,445000000,,"['joint1', 'joint2']",0.2461999483531896,-0.1399723325777753,0.38263115246360513,-0.7875963750770852
86.456,8627,86,455000000,,"['joint1', 'joint2']",0.24850761195574744,-0.14320892007528663,0.16116004810601361,-0.11282405544111473
86.466,8628,86,465000000,,"['joint1', 'joint2']",0.24984035651914738,-0.143528211574524,0.11992845733985635,0.0048919117560407704
86.476,8629,86,476000000,,"['joint1', 'joint2']",0.25097606135858985,-0.1433394445247682,0.11000611510922632,0.02514616009540642
86.486,8630,86,485000000,,"['joint1', 'joint2']",0.2520494435216083,-0.1430662247837704,0.10541942099691218,0.028178748551511965
86.496,8631,86,495000000,,"['joint1', 'joint2']",0.2530825990070795,-0.14278392420297603,0.1016191104189654,0.02809742741625043
86.506,8632,86,505000000,,"['joint1', 'joint2']",0.2540779799935713,-0.14250659890001938,0.0978206063984205,0.027392370503549174
86.516,8633,86,515000000,,"['joint1', 'joint2']",0.25503473998369053,-0.1422374376523523,0.09390167124799519,0.0265095095815
86.526,8634,86,525000000,,"['joint1', 'joint2']",0.2559516052633608,-0.14197763883542436,0.08985595230531458,0.025535016931228408
86.536,8635,86,535000000,,"['joint1', 'joint2']",0.2568273792075457,-0.1417279764399053,0.08569743555502304,0.02449135736444369
86.546,8636,86,545000000,,"['joint1', 'joint2']",0.25977102741244007,-0.14741437131679191,0.38239280225660494,-0.7872405984397206
86.556,8637,86,555000000,,"['joint1', 'joint2']",0.2620793195088753,-0.15065696066466572,0.1612391243895721,-0.11350831497684348
86.566,8638,86,565000000,,"['joint1', 'joint2']",0.2634117845288264,-0.15098066692466094,0.11982327025797328,0.004626320095811931
86.576,8639,86,575000000,,"['joint1', 'joint2']",0.2645457961057103,-0.1507934035385743,0.10979580748662408,0.025056928379216165
86.586,8640,86,585000000,,"['joint1', 'joint2']",0.2656167333186197,-0.15052081697086628,0.10515081108979259,0.028126500951204086
86.596,8641,86,595000000,,"['joint1', 'joint2']",0.2666469624348604,-0.15023904423935086,0.10130787468364151,0.028041972713212335
86.606,8642,86,605000000,,"['joint1', 'joint2']",0.2676390264837458,-0.1499623408440689,0.09747263660979195,0.027324430802977015
86.616,8643,86,615000000,,"['joint1', 'joint2']",0.2685921184560751,-0.1496939344748709,0.09351993411436488,0.02642799083535606
86.626,8644,86,625000000,,"['joint1', 'joint2']",0.2695049923150643,-0.1494350238441191,0.08944301001389046,0.025440501832157986
86.636,8645,86,635000000,,"['joint1', 'joint2']",0.27037647642101525,-0.14918637468974705,0.0852557516128922,0.024384794460232215
86.646,8646,86,645000000,,"['joint1', 'joint2']",0.273311586487754,-0.1548627480195881,0.38183668032338297,-0.7870026463269346
86.656,8647,86,655000000,,"['joint1', 'joint2']",0.2756172981102383,-0.15811286793291668,0.16099312130920534,-0.1143401998722198
86.666,8648,86,665000000,,"['joint1', 'joint2']",0.27694632942706576,-0.15844229829470446,0.11940774929917518,0.004241779178984412
