Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1717334905.4747403,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334905.5735207,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334905.6737752,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334905.774122,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334905.873505,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334905.973568,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.0742617,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.1743922,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.2745695,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.37477,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.475045,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.575452,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.6755555,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.776958,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.8784742,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334906.9781692,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.07736,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.1780605,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.2772906,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.3769164,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.4767866,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.5772996,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.677586,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.7777457,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.8777826,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334907.9786475,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.0782712,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.1787643,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.2793574,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.3797376,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.480355,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.5798624,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.6799808,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.7801504,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.8805861,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334908.9807754,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.0809243,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.1808815,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.2826123,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.3819063,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.4815083,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.5812461,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.6819189,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.7829177,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.883037,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334909.9828565,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.0827787,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.1832721,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.2844837,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.3838518,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.4841585,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.5844212,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.6843472,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.7843482,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.8863637,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334910.9872139,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.0884705,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.1867068,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.2861364,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.3865452,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.4863105,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.589352,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.6876345,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.787364,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.887333,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334911.9872105,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.087564,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.1874156,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.2889414,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.392641,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.4905539,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.5889547,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.688741,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.789139,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.8890758,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334912.9893456,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.0893729,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.1909273,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.2904706,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.390291,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.4901016,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.590291,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.6908786,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.7912178,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.8914428,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334913.9915164,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.091553,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.192111,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.292791,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.392776,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.4932423,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.5933082,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.693107,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.7941604,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.8938253,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334914.9940743,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334915.0943458,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334915.194346,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334915.2945545,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334915.394629,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334915.4946878,0.0,0.0,0.0,0.0,0.0,-0.26179938750000004
1717334915.5949116,0.0,0.0,0.0,0.0,0.0,0.0
